tid,cid,column,value,label
1087,14,Genre,"Animation,Adventure,Family",-1
1088,11,RatingValue,E,1
1089,14,Genre,"Animation,Action,Adventure",-1
1090,2,Year,2001,1
1091,4,Director,"Dean DeBlois,Chris Sanders",-1
1092,8,Language,Englishl,1
1093,0,Id,tt0483586,-1
1094,10,Duration,99 minO,1
1095,11,RatingValue,6.9,-1
1096,13,ReviewCount,"98 user,67 criticZ",1
1097,7,Cast,"Caon Mortenson,Garrett Coffey,Taylor Coliee,Riley Jane,Luke Davis,Chantal Thuy,Yoel Bautista,Circus-Szalewski,Jada Facer,William Fitzgerald,Frederic Jean,Greg Lucey,Monika MarLee,Jaden Martin,Mike Michaels",-1
1098,1,Name,,1
1099,2,Year,2016,-1
1100,9,Country,USA,1
1101,6,Actors,"Jason Spevack,Toni Collette,Michael Sheen",-1
1102,6,Actors,,1
1103,3,Release Date,3 July 1991 (USA),-1
1104,15,Filming Locations,"GClay County, West Virginia, USA",1
1105,6,Actors,"Jim Carrey,Kate Winslet,Tom Wilkinson",-1
1106,7,Cast,"io,aHsrraclrod,majAroirR celfnr,hhrioef,orticSn,,'oLhcssooleJOn, eBfomlK,y  tirnHatruKIaeeH,oorOiMBy wViMeoean oadnrti ye,wrc' .nnoe endryEwvdAan T,dK omwe,Twikdi r E naCs  ,BJJ ilTTMenroRDiyDrdo,aeasad",1
1107,15,Filming Locations,"Babelsberg, Potsdam, Brandenburg, Germany",-1
1108,14,Genre,,1
1109,7,Cast,"Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Ethan Suplee,Fairuza Balk,Avery Brooks,Elliott Gould,Stacy Keach,William Russ,Guy Torry,Joe Cortese,Jason Bose Smith,Antonio David Lyons,Alex Sol",-1
1110,16,Description,"After a simple jewelery heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.N",1
1111,11,RatingValue,8.4,-1
1112,3,Release Date,91(Ma2)083SU   Ay,1
1113,4,Director,Martin Scorsese,-1
1114,1,Name,ae th GarescepET,1
1115,2,Year,2007,-1
1116,12,RatingCount,"G598,080",1
1117,10,Duration,91 min,-1
1118,0,Id,,1
1119,11,RatingValue,6.7,-1
1120,2,Year,,1
1121,7,Cast,"Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,Glenn Shadix,Paul Reubens,Ken Page,Edward Ivory,Susan McBride,Debi Durst,Greg Proops,Kerry Katz,Randy Crenshaw,Sherwood Ball,Carmen Twillie",-1
1122,11,RatingValue,,1
1123,6,Actors,"Zach Braff,Joan Cusack,Garry Marshall",-1
1124,16,Description,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.j,1
1125,1,Name,Radio Free Albemuth,-1
1126,12,RatingCount,"19,273O",1
1127,14,Genre,"Adventure,Horror,Mystery",-1
1128,16,Description,A man travels to an island with his girlfriend in search of his relatives but he finds maybe more than what he wanted to know.e,1
1129,8,Language,"English,Maltese,French,Turkish",-1
1130,12,RatingCount,58a,1
1131,7,Cast,"Rod Taylor,J. Pat O'Malley,Betty Lou Gerson,Martha Wentworth,Ben Wright,Cate Bauer,David Frankham,Frederick Worlock,Lisa Davis,Tom Conway,Tudor Owen,George Pelling,Ramsay Hill,Sylvia Marriott,Queenie Leonard",-1
1132,9,Country,USAI,1
1133,12,RatingCount,"151,434",-1
1134,13,ReviewCount,"r1e2cui  124si,rct3",1
1135,16,Description,The son of the Greek Gods Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,-1
1136,6,Actors,"u iabz MSor,l npacuChlwseigBeaCeoahMt,ctacoIhyeratln",1
1137,10,Duration,136 min,-1
1138,7,Cast,,1
1139,4,Director,John McTiernan,-1
1140,8,Language,YEnglish,1
1141,2,Year,1990,-1
1142,5,Creator,,1
1143,2,Year,1941,-1
1144,13,ReviewCount,,1
1145,16,Description,Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein (goaded by an even madder scientist) builds his monster a mate.,-1
1146,14,Genre,"-artisFHaF,ny,corioSr",1
1147,10,Duration,79 min,-1
1148,14,Genre,"am-Srrarioc,HFi,oDr",1
1149,1,Name,The Mummy,-1
1150,13,ReviewCount,"152 user,75 criticJ",1
1151,15,Filming Locations,"Bénouville, Calvados, France",-1
1152,0,Id,Ptt0050212,1
1153,1,Name,Where Eagles Dare,-1
1154,11,RatingValue,7.7r,1
1155,9,Country,USA,-1
1156,16,Description,"A historical telling of the failed attempt to capture several bridges on a road to Germany in World War II, in a campaign called Operation Market-Garden.P",1
1157,2,Year,1988,-1
1158,14,Genre,"atd,Dsrraenauy,mtveFnaA",1
1159,8,Language,"English,German",-1
1160,9,Country,"SAK,UU",1
1161,11,RatingValue,7.5,-1
1162,5,Creator,"Irnhe ereMibcTMy hpa,cu",1
1163,15,Filming Locations,,-1
1164,11,RatingValue,,1
1165,10,Duration,170 min,-1
1166,2,Year,,1
1167,16,Description,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to re-jump start his career, but the situation quickly escalates into an out-of-control circus.",-1
1168,5,Creator,"kDaniel Taradash,James Jones",1
1169,15,Filming Locations,"New York Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",-1
1170,14,Genre,,1
1171,9,Country,USA,-1
1172,12,RatingCount,"X36,736",1
1173,4,Director,Billy Wilder,-1
1174,3,Release Date,v25 August 1950 (Australia),1
1175,3,Release Date,6 February 1958 (USA),-1
1176,4,Director,,1
1177,13,ReviewCount,"131 user,91 critic",-1
1178,9,Country,"USA,Germany,Czech Republic,UKA",1
1179,2,Year,1937,-1
1180,3,Release Date,v3 July 2012 (USA),1
1181,5,Creator,"Joss Whedon,Zak Penn",-1
1182,16,Description,,1
1183,11,RatingValue,7.4,-1
1184,13,ReviewCount,"a1,049 user,639 critic",1
1185,9,Country,USA,-1
1186,6,Actors,,1
1187,8,Language,English,-1
1188,8,Language,"REnglish,Norwegian,French",1
1189,4,Director,Howard Hawks,-1
1190,5,Creator,"Zak Penn,David Hayterj",1
1191,7,Cast,"Edward Norton,Liv Tyler,Tim Roth,William Hurt,Tim Blake Nelson,Ty Burrell,Christina Cabot,Peter Mensah,Lou Ferrigno,Paul Soles,Débora Nascimento,Greg Bryk,Chris Owens,Al Vrkljan,Adrian Hein",-1
1192,11,RatingValue,,1
1193,9,Country,"USA,China",-1
1194,13,ReviewCount,,1
1195,6,Actors,"Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston",-1
1196,7,Cast,,1
1197,3,Release Date,14 December 2007 (USA),-1
1198,5,Creator,"Karl Gajdusek,Michael Arndtp",1
1199,10,Duration,130 min,-1
1200,15,Filming Locations,"ndeo,erKs,  dhenvd eSlgftuHniesd LrE,ao,edsvsLiertna Uea",1
1201,8,Language,English,-1
1202,7,Cast,"Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Bill Nighy,Jonathan Pryce,Lee Arenberg,Mackenzie Crook,Kevin McNally,David Bailie,Stellan Skarsgård,Tom Hollander,Naomie Harris,Martin KlebbaY",1
1203,12,RatingCount,"645,461",-1
1204,11,RatingValue,,1
1205,15,Filming Locations,"Bequia, St Vincent and the Grenadines",-1
1206,13,ReviewCount,"1,827 user,312 critice",1
1207,5,Creator,James Cameron,-1
1208,8,Language,jEnglish,1
1209,13,ReviewCount,"521 user,427 critic",-1
1210,7,Cast,"Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace,Bryce Dallas Howard,Rosemary Harris,J.K. Simmons,James Cromwell,Theresa Russell,Dylan Baker,Bill Nunn,Bruce Campbell,Elizabeth Banks,Ted RaimiO",1
1211,0,Id,tt0092106,-1
1212,8,Language,lnshigE,1
1213,5,Creator,"Stan Lee,Steve Ditko",-1
1214,16,Description,,1
1215,1,Name,X-Men: The Last Stand,-1
1216,14,Genre,"uDrama,Romance,Western",1
1217,6,Actors,"Shia LaBeouf,Megan Fox,Josh Duhamel",-1
1218,16,Description,,1
1219,12,RatingCount,"310,570",-1
1220,9,Country,ASU,1
1221,2,Year,2008,-1
1222,16,Description,,1
1223,9,Country,USA,-1
1224,10,Duration,124 minA,1
1225,3,Release Date,10 December 2010 (USA),-1
1226,7,Cast,"Das,lsrovM,a,syeoieCnntmtiWetbeonG.tdeeolBceialoC  neih buo loRLDJoa  aetcpslnEeiiooichyWrh,isc,,  n l tNlAri,eargDreLTysCRcot, ipvn.sihhrid,nrbonutae illiosr,Cls  GakZPncVT,,aotilnamJS  ci,iJiJiael,agtCvelOnSmtaai",1
1227,10,Duration,131 min,-1
1228,2,Year,2500,1
1229,6,Actors,"Angelina Jolie,Jon Voight,Iain Glen",-1
1230,11,RatingValue,6.5V,1
1231,13,ReviewCount,"509 user,327 critic",-1
1232,0,Id,37468t0t0,1
1233,13,ReviewCount,"44 user,121 critic",-1
1234,8,Language,"XEnglish,Sindarin,Old English",1
1235,14,Genre,"Adventure,Fantasy",-1
1236,14,Genre,"euAFe,tnarsaytdnv",1
1237,15,Filming Locations,"CTV Services, Tunisia",-1
1238,14,Genre,"sAction,Adventure,Fantasy",1
1239,4,Director,George Lucas,-1
1240,16,Description,"rAfter arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees, and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",1
1241,2,Year,1999,-1
1242,13,ReviewCount,"u410 user,152 critic",1
1243,11,RatingValue,7.2,-1
1244,4,Director,uJohn Glen,1
1245,15,Filming Locations,"Pacific Southwest Railway Museum, Campo, California, USA",-1
1246,7,Cast,"bKurt Russell,Val Kilmer,Sam Elliott,Bill Paxton,Powers Boothe,Michael Biehn,Charlton Heston,Jason Priestley,Jon Tenney,Stephen Lang,Thomas Haden Church,Dana Delany,Paula Malcomson,Lisa Collins,Dana Wheeler-Nicholson",1
1247,6,Actors,"Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips",-1
1248,16,Description,"Routinely exploited by her wicked stepmother, the downtrodden Sam Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.d",1
1249,9,Country,USA,-1
1250,16,Description,"bAn overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",1
1251,2,Year,2009,-1
1252,2,Year,,1
1253,12,RatingCount,"349,489",-1
1254,0,Id,09tt09087,1
1255,15,Filming Locations,"Wales, UK",-1
1256,9,Country,"BUK,USA",1
1257,10,Duration,138 min,-1
1258,14,Genre,"kAdventure,Family,Fantasy",1
1259,0,Id,tt0113277,-1
1260,6,Actors,,1
1261,10,Duration,119 min,-1
1262,16,Description,"itefh nyogpa bfdge   ieantBeulIeemo hm n tAniimt ettsirhn eieteeaurso,hdn noiarcllsfeiiffinrianwhf d dfn hFvs  oa  m xeerts e.atger  l",1
1263,6,Actors,"Will Smith,Jamie Foxx,Jon Voight",-1
1264,3,Release Date,25 September 1992 (USA)X,1
1265,14,Genre,"Crime,Drama,Thriller",-1
1266,6,Actors,,1
1267,1,Name,Fatal Attraction,-1
1268,6,Actors,,1
1269,11,RatingValue,7.6,-1
1270,4,Director,retkcc AHfohicdl,1
1271,2,Year,1988,-1
1272,7,Cast,"gAnthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Bob Hoskins,E.G. Marshall,David Paymer,David Hyde Pierce,Paul Sorvino,Mary Steenburgen,J.T. Walsh,James Woods,Brian Bedford,Kevin Dunn,Fyvush Finkel",1
1273,16,Description,"A borderline personality disordered defense worker frustrated with the various flaws he sees in society, begins to psychotically and violently lash out against them.",-1
1274,8,Language,"wEnglish,Spanish",1
1275,9,Country,USA,-1
1276,7,Cast,,1
1277,12,RatingCount,"113,897",-1
1278,9,Country,,1
1279,4,Director,Andrew Niccol,-1
1280,16,Description,,1
1281,7,Cast,"Val Kilmer,Meg Ryan,Kyle MacLachlan,Frank Whaley,Kevin Dillon,Michael Wincott,Michael Madsen,Josh Evans,Dennis Burkley,Billy Idol,Kathleen Quinlan,John Densmore,Gretchen Becker,Jerry Sturm,Sean Stone",-1
1282,10,Duration,m7 ni01,1
1283,0,Id,tt0107096,-1
1284,16,Description,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.T,1
1285,5,Creator,"Michael Blake,Michael Blake",-1
1286,7,Cast,",arhowtDnozKer,nshBLn,DetK,unenonCF'c nscwhW or evll tMwn ioe e ea Cclvy,ti,lannee,ick,nhmanksDacttsauWotJl , ,arheCMra rCiwelaaJ,SnnnLoite loRmoOTn  tBSsFeso,kenodnoS,rnaveoorDGdoiamian eapcuune,DJikaidirieh",1
1287,15,Filming Locations,"11219 S St Lawrence Ave, Chicago, Illinois, USA",-1
1288,16,Description,"CFederal Agent Eliot Ness sets out to stop Al Capone; because of rampant corruption, he assembles a small, hand-picked team.",1
1289,12,RatingCount,121,-1
1290,4,Director,Paul SchraderX,1
1291,12,RatingCount,"64,991",-1
1292,3,Release Date,9 July 2011 (Japan)u,1
1293,7,Cast,"Al Pacino,Christopher Walken,Alan Arkin,Julianna Margulies,Mark Margolis,Lucy Punch,Addison Timlin,Vanessa Ferlito,Katheryn Winnick,Bill Burr,Craig Sheffer,Yorgo Constantine,Weronika Rosati,Keone Young,Courtney Galiano",-1
1294,6,Actors,,1
1295,5,Creator,"Jamie Linden,Cory Helms",-1
1296,5,Creator,"mJohn Romano,Michael Connelly",1
1297,9,Country,USA,-1
1298,11,RatingValue,I7.5,1
1299,7,Cast,"Denzel Washington,Will Patton,Wood Harris,Ryan Hurst,Donald Faison,Craig Kirkwood,Ethan Suplee,Kip Pardue,Hayden Panettiere,Nicole Ari Parker,Kate Bosworth,Earl Poitier,Ryan Gosling,Burgess Jenkins,Neal Ghant",-1
1300,14,Genre,,1
1301,5,Creator,"John Lee Hancock,Michael Lewis",-1
1302,1,Name,Gridiron Gangj,1
1303,13,ReviewCount,"151 user,30 critic",-1
1304,2,Year,2005u,1
1305,16,Description,"Miracle tells the true story of Herb Brooks (Russell), the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Russian squad.",-1
1306,12,RatingCount,"s15,725",1
1307,5,Creator,Richard Price,-1
1308,14,Genre,"gDrama,Romance",1
1309,4,Director,James Foley,-1
1310,3,Release Date,,1
1311,14,Genre,Drama,-1
1312,0,Id,tt0101912m,1
1313,13,ReviewCount,"182 user,47 critic",-1
1314,6,Actors,"Robert De Niro,James Woods,Elizabeth McGovernL",1
1315,4,Director,Martin Scorsese,-1
1316,7,Cast,",l,n sn ,erPn sMiShgenb l iMe crDs rlreMo,hehhuu lhueUtar e-rhParbaotnacrtnla,ozaaaelmDteGyhpealeBab,nrcMnrare,nna goc,lDthlc oruK kee,nEJertaa ai,e,orlCnorlD,ataiyaMHticnriretn,a FernniAieoKaCAoSiBnln aDeahnomte,lerJAen oSetCSuara rR",1
1317,3,Release Date,10 June 1994 (USA),-1
1318,13,ReviewCount,"i2,787 user,274 critic",1
1319,6,Actors,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",-1
1320,15,Filming Locations,,1
1321,16,Description,"To foil an extortion plot, an FBI agent undergoes a face-transplant surgery and assumes the identity of a ruthless terrorist. But the plan backfires when the same criminal impersonates the cop with the same method.",-1
1322,2,Year,1995,1
1323,2,Year,1996,-1
1324,2,Year,,1
1325,13,ReviewCount,"93 user,47 critic",-1
1326,12,RatingCount,"21,294u",1
1327,2,Year,1989,-1
1328,7,Cast,"tTab Hunter,Gwen Verdon,Ray Walston,Russ Brown,Shannon Bolin,Nathaniel Frey,James Komack,Rae Allen,Robert Shafer,Jean Stapleton,Albert Linville,William Adams,Roy Sievers",1
1329,5,Creator,"William Gibson,William Gibson",-1
1330,3,Release Date,8 September 2000 (USA)C,1
1331,8,Language,English,-1
1332,9,Country,,1
1333,11,RatingValue,7.9,-1
1334,13,ReviewCount,"521 user,210 criticn",1
1335,13,ReviewCount,"91 user,34 critic",-1
1336,14,Genre,"pDrama,Family",1
1337,11,RatingValue,6.8,-1
1338,11,RatingValue,6.7,1
1339,3,Release Date,22 June 1988 (USA),-1
1340,6,Actors,,1
1341,6,Actors,"Robin Williams,Sally Field,Pierce Brosnan",-1
1342,4,Director,,1
1343,5,Creator,"Larry Clemmons,Vance Gerry",-1
1344,16,Description,"FRidiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",1
1345,11,RatingValue,7.6,-1
1346,3,Release Date,23 February 1940 (USA)T,1
1347,8,Language,English,-1
1348,9,Country,UUSA,1
1349,5,Creator,"Bill Peet,T.H. White",-1
1350,6,Actors,,1
1351,1,Name,Bambi,-1
1352,0,Id,Stt0042332,1
1353,11,RatingValue,7.3,-1
1354,2,Year,,1
1355,13,ReviewCount,"104 user,74 critic",-1
1356,4,Director,Jim FallC,1
1357,1,Name,Free Willy,-1
1358,1,Name,Angels Singe,1
1359,5,Creator,"Henry Gayden,Henry Gayden",-1
1360,8,Language,EnglishA,1
1361,8,Language,English,-1
1362,1,Name,eGrace Stirs Up Success,1
1363,0,Id,tt0383028,-1
1364,9,Country,USA,1
1365,11,RatingValue,6.0,-1
1366,5,Creator,"Maya Forbes,Wallace WolodarskyK",1
1367,11,RatingValue,6.0,-1
1368,12,RatingCount,"103,454f",1
1369,13,ReviewCount,"503 user,522 critic",-1
1370,12,RatingCount,,1
1371,12,RatingCount,"25,636",-1
1372,2,Year,,1
1373,5,Creator,"Gabriela Cowperthwaite,Eli B. Despres",-1
1374,13,ReviewCount,"i c9trs31, 2eircu",1
1375,0,Id,tt0358456,-1
1376,0,Id,stt0386032,1
1377,15,Filming Locations,"Milovice, Nymburk District, Czech Republic",-1
1378,9,Country,"danaCrSya,nm,aAeGU",1
1379,0,Id,tt0361596,-1
1380,9,Country,AUS,1
1381,6,Actors,"James Stewart,Grace Kelly,Wendell Corey",-1
1382,16,Description,"eei aseeyhh icind itfe ooen rna tohonadec laf  ipftsidf lvrrh itcsnsi raor,a uSlstet eintao iirgdw i.e gsteao so eegbe dcgtuialewiAf niobnefsasmrwvss ldegerb remrtF cnvtehh'c",1
1383,16,Description,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",-1
1384,1,Name,HoseorTuerr ,1
1385,7,Cast,"Tippi Hedren,Suzanne Pleshette,Rod Taylor,Jessica Tandy,Veronica Cartwright,Ethel Griffies,Charles McGraw,Doreen Lang,Ruth McDevitt,Joe Mantell,Malcolm Atterbury,Karl Swenson,Elizabeth Wilson,Lonny Chapman,Doodles Weaver",-1
1386,3,Release Date,N7 )52 1r( oevA91bUemS,1
1387,15,Filming Locations,"3026 Normandy Pl., Evanston, Illinois, USA",-1
1388,15,Filming Locations,"zBurbank, California, USA",1
1389,3,Release Date,20 July 1984 (USA),-1
1390,2,Year,1120,1
1391,12,RatingCount,31,-1
1392,0,Id,,1
1393,11,RatingValue,6.6,-1
1394,0,Id,tt0118998H,1
1395,15,Filming Locations,"Kenwood House, Hampstead Heath, Hampstead, London, England, UK",-1
1396,3,Release Date,A2 February 1996 (USA),1
1397,5,Creator,Rich Wilkes,-1
1398,6,Actors,"Chris Farley,Nicollette Sheridan,Robin Shouu",1
1399,0,Id,tt0101452,-1
1400,1,Name,,1
1401,11,RatingValue,6.4,-1
1402,12,RatingCount,,1
1403,3,Release Date,31 July 1998 (USA),-1
1404,2,Year,O1987,1
1405,10,Duration,119 min,-1
1406,13,ReviewCount,,1
1407,2,Year,2005,-1
1408,11,RatingValue,,1
1409,6,Actors,"Ben Stiller,Christine Taylor,Vince Vaughn",-1
1410,2,Year,k2007,1
1411,3,Release Date,9 July 2004 (USA),-1
1412,5,Creator,"uWill Ferrell,Adam McKay",1
1413,7,Cast,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan,Leslie Bibb,Jane Lynch,Amy Adams,Andy Richter,Molly Shannon,Greg Germann,David Koechner,Jack McBrayer,Ian Roberts,Pat Hingle",-1
1414,2,Year,h2008,1
1415,7,Cast,"Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay,Allen Covert,Robert Smigel,Bob Barker,Richard Kiel,Dennis Dugan,Joe Flaherty,Lee Trevino,Kevin Nealon,Verne Lundquist,Jared Van Snellenberg,Ken Camroux",-1
1416,1,Name,Orgazmoq,1
1417,0,Id,tt0889583,-1
1418,13,ReviewCount,"E380 user,224 critic",1
1419,3,Release Date,7 July 2000 (USA),-1
1420,1,Name,School of RockU,1
1421,5,Creator,"John Hamburg,Larry Stuckey",-1
1422,15,Filming Locations,"7 West 30th Street, New York City, New York, USAL",1
1423,7,Cast,"Jason Biggs,Chris Klein,Thomas Ian Nicholas,Alyson Hannigan,Shannon Elizabeth,Tara Reid,Eddie Kaye Thomas,Seann William Scott,Eugene Levy,Natasha Lyonne,Mena Suvari,Jennifer Coolidge,Chris Owen,Eric Lively,Molly Cheek",-1
1424,12,RatingCount,"64,415e",1
1425,7,Cast,"Danny DeVito,Madeline Kahn,Cloris Leachman,Rhea Perlman,Tony Randall,Tammy Amerson,Jon 'Bowzer' Bauman,Alice Playten,Charles Adler,Michael Bell,Sheryl Bernstein,Susan Blu,Cathy Cavadini,Nancy Cartwright,Peter Cullen",-1
1426,9,Country,"USA,India,Canadae",1
1427,6,Actors,"Jordan Ladd,Rider Strong,James DeBello",-1
1428,12,RatingCount,,1
1429,4,Director,"Cory Edwards,Todd Edwards",-1
1430,12,RatingCount,"h30,334",1
1431,13,ReviewCount,"54 user,81 critic",-1
1432,0,Id,Ztt0170016,1
1433,6,Actors,"Nicole Kidman,Daniel Craig,Dakota Blue Richards",-1
1434,8,Language,HEnglish,1
1435,4,Director,Marc Forster,-1
1436,5,Creator,Robert Mark KamenO,1
1437,0,Id,tt0089218,-1
1438,13,ReviewCount,"e 7,,u6r5ri8 i1ts1c6c",1
1439,5,Creator,"Jeff Stockwell,David Paterson",-1
1440,10,Duration,i0 1nm1,1
1441,2,Year,2008,-1
1442,2,Year,1998d,1
1443,5,Creator,Zach Helm,-1
1444,8,Language,,1
1445,3,Release Date,8 October 2004 (USA),-1
1446,14,Genre,,1
1447,9,Country,USA,-1
1448,3,Release Date,,1
1449,8,Language,English,-1
1450,2,Year,6021,1
1451,10,Duration,118 min,-1
1452,6,Actors,"xPeter Dinklage,Jason Lee,Amy Adams",1
1453,13,ReviewCount,"2 user,5 critic",-1
1454,3,Release Date,8 July 2011 (USA)d,1
1455,3,Release Date,22 June 2007 (USA),-1
1456,9,Country,,1
1457,4,Director,Cal Brunker,-1
1458,14,Genre,"Animation,Adventure,ComedyP",1
1459,13,ReviewCount,"410 user,249 critic",-1
1460,13,ReviewCount,"L961 user,416 critic",1
1461,15,Filming Locations,"Acton Lane Power Station, Acton Lane, Acton, London, England, UK",-1
1462,4,Director,,1
1463,10,Duration,117 min,-1
1464,0,Id,Wtt0103644,1
1465,9,Country,USA,-1
1466,0,Id,tt0088944J,1
1467,5,Creator,"Claude Zidi,Simon Michaël",-1
1468,9,Country,,1
1469,14,Genre,"Action,Horror,Sci-Fi",-1
1470,16,Description, m ohsnrluo rcrnp rooeega b er ic asirrenrafe oe mbrtfwlasysetias. dmPtead  uwr kaseeie nl oA,1
1471,0,Id,tt0093870,-1
1472,2,Year,G1987,1
1473,10,Duration,82 min,-1
1474,7,Cast,"MlHGoe ee,dnle ac eaoncu,hlilrr,DRcnraBcCkblaaeTncd AaoeCe,k irmaJer ",1
1475,9,Country,USA,-1
1476,0,Id,Ntt0249516,1
1477,13,ReviewCount,"74 user,26 critic",-1
1478,0,Id,t078014t5,1
1479,13,ReviewCount,2 user,-1
1480,8,Language,uEnglish,1
1481,15,Filming Locations,"Toronto, Ontario, Canada",-1
1482,8,Language,"English,Russianm",1
1483,14,Genre,"Comedy,Drama",-1
1484,8,Language,DEnglish,1
1485,11,RatingValue,6.7,-1
1486,15,Filming Locations,,1
1487,16,Description,A beautiful spirited horse is so devoted to his young mistress that he undertakes an incredible 500-mile journey over treacherous terrain to be reunited with her.,-1
1488,0,Id,,1
1489,7,Cast,"Jim Varney,Douglas Seale,Oliver Clark,Noelle Parker,Gailard Sartain,Billie Bird,Bill Byrge,Robert Lesser,Key Howard,Jack Swanson,Buddy Douglas,Patty Maloney,Beecher Martin,Barry Brazell,George Kaplan",-1
1490,10,Duration,i 9n8m,1
1491,2,Year,2014,-1
1492,13,ReviewCount,",uric5t9re8i  c2s2",1
1493,14,Genre,"Action,Adventure,Comedy",-1
1494,1,Name,wKazaam,1
1495,1,Name,The Secret Agent Club,-1
1496,9,Country,USAs,1
1497,6,Actors,"Jim Varney,Linda Kash,Bill Byrge",-1
1498,6,Actors,,1
1499,11,RatingValue,7.3,-1
1500,13,ReviewCount,"a86 user,53 critic",1
1501,3,Release Date,22 June 1977 (USA),-1
1502,5,Creator,,1
1503,4,Director,Richard Rich,-1
1504,12,RatingCount,"3,579p",1
1505,3,Release Date,29 March 1996 (USA),-1
1506,15,Filming Locations,Y,1
1507,7,Cast,"David Bowie,Jennifer Connelly,Toby Froud,Shelley Thompson,Christopher Malcolm,Natalie Finland,Shari Weiser,Brian Henson,Ron Mueck,Rob Mills,Dave Goelz,David Alan Barclay,David Shaughnessy,Karen Prell,Timothy Bateson",-1
1508,1,Name,DThe Neverending Story II: The Next Chapter,1
1509,4,Director,Bill Kroyer,-1
1510,12,RatingCount,",21340",1
1511,10,Duration,71 min,-1
1512,16,Description,e Akolycagn  gotaonsi  g neoaete wn.nogj ns i seeadonfYrt pidtl n  datgr ianNk lye,1
1513,13,ReviewCount,"76 user,148 critic",-1
1514,14,Genre,"mManuocir,mcRasD,ae",1
1515,12,RatingCount,"4,214",-1
1516,11,RatingValue,46.,1
1517,12,RatingCount,"18,439",-1
1518,3,Release Date,,1
1519,15,Filming Locations,"Brooklyn Bridge, New York City, New York, USA",-1
1520,4,Director,,1
1521,3,Release Date,29 September 1995 (USA),-1
1522,14,Genre,"Comedy,Family,Fantasya",1
1523,2,Year,1994,-1
1524,6,Actors,"ePaige Turco,David Warner,Michelan Sisti",1
1525,3,Release Date,25 March 1994 (USA),-1
1526,8,Language,,1
1527,15,Filming Locations,"Texas, USA",-1
1528,12,RatingCount,n465,1
1529,4,Director,John R. Cherry III,-1
1530,8,Language,EnglishJ,1
1531,6,Actors,"Diedrich Bader,Erika Eleniak,Jim Varney",-1
1532,8,Language,bEnglish,1
1533,2,Year,1997,-1
1534,13,ReviewCount,"36 user,10 criticT",1
1535,15,Filming Locations,"59 Hyde Avenue, Newton, Massachusetts, USA",-1
1536,8,Language,nhEilsg,1
1537,2,Year,2010,-1
1538,5,Creator,"xCormac Wibberley,Marianne Wibberley",1
1539,6,Actors,"Alec Baldwin,Tobey Maguire,Jeff Goldblum",-1
1540,4,Director,lJake Kasdan,1
1541,8,Language,English,-1
1542,12,RatingCount,"2237,03",1
1543,13,ReviewCount,,-1
1544,13,ReviewCount,"citu5,ir91e 5csr 1",1
1545,3,Release Date,8 December 1982 (USA),-1
1546,10,Duration,90 minH,1
1547,1,Name,Beverly Hills Cop II,-1
1548,9,Country,USAd,1
1549,8,Language,English,-1
1550,7,Cast,,1
1551,3,Release Date,September 2014 (USA),-1
1552,3,Release Date,15 April 2015 (USA)h,1
1553,5,Creator,"Stephen Shimek,Daryn Tufts",-1
1554,5,Creator,iJulian Grant,1
1555,10,Duration,95 min,-1
1556,5,Creator,lDarva Campbell,1
1557,16,Description,Charlie is a 16-year-old orphan struggling to raise her two younger brothers when she endeavors to train a rogue horse she names Sylvester and turn him into an eventing champion.,-1
1558,12,RatingCount,z53,1
1559,16,Description,"A teenage girl, trying to come to grips with the death of her mother in a horse-riding accident, nurtures the foal of her mother's horse.",-1
1560,1,Name,Horse Campu,1
1561,9,Country,USA,-1
